Characteristics,Score
"Red wine; mango; nectarine; black currant; plum; molasses; tangerine; tropical fruit mix; little touch of phosphoric acid; spicy with fruit, Tartaric; citric; champagne; green apple , Very creamy body and yogurt like; sexy; complex; juicy; refreshing aftertaste; very clean and exotic; amazing; highest score ever for COE Brazil natural coffee",95.18
"Floral, jasmine, perfume, rose, rose wine, champagne, bergamot, peach, pineapple, tea rose, stone fruits, melon, honey, white floral, coffee blossoms, black currant, Osmanthus flower, Elegant, delicate, transparent, citric, effervescent, complex, sparkling, structured , Smooth mouthfeel, silky, creamy, very smooth, very tea like, velvety, delicate, multidimensional, good structure, layered",94.84
"Floral, jasmine, perfume, rose, rose wine, champagne, bergamot, peach, pineapple, tea rose, stone fruits, melon, honey, white floral, coffee blossoms, black currant, Osmanthus flower, Elegant, delicate, transparent, citric, effervescent, complex, sparkling, structured , Smooth mouthfeel, silky, creamy, very smooth, very tea like, velvety, delicate, multidimensional, good structure, layered",94.84
"Mango, passion fruit, stone fruit, cranberry, papaya, pineapple, melon, jasmine, perfumed, molasses, caramel, peach ice tea, Crisp, very complex, brilliant, persistent, immense , Round, transparent, velvet, mouth-expanding, silky",94.47
"dark chocolate, floral, jasmine, mango, black cherry, black current, tropical fruit, raisin, toffee, red wine, peach, spicy, vanilla, sugar cane, cantaloupe, bright, tartaric, grape-like, ripe fruit, complex , smooth mouthfeel, rich body, long fruit-like finish, viscous, transparent",94.14
"honey* lemon, orange, pineapple, fruit compote, kiwi, lemon grass, guava, red fruit, sweet apple, very complex, citric, perfect, complete, parfait, bright , long juicy prolonged sweet aftertaste, complex, multi dimensional, very clean",94.05
"jasmine, floral, watermelon, jasmine, strawberry, elderberry flower, muscat, passionfruit, raspberry, black grape, mulberry, flan, apricot, floral bouquet, nectarine, lavender, neroli, rosehip, cucumber, grape, sparkling, juicy, complex, long lasting, pleasant, effervescent, elegant , kiwi, peach, transparent, champagne, jam, oolong, bubblegum, apricot",93.89
"Similar in profile to No.1 coffee; nectarine; red wine; strawberry, floral; molasses; green apple; Toblerone; passion fruit; graham cracker; mango, brown sugar; tobacco; Brazil Christmas bread, Grape; apple; tartaric; complex , Lots of clarity; sweet; transparent; velvet; full body; refreshing aftertaste",93.82
"Red wine, dark fruit, concord grapes, banana, strawberry-yogurt, candy, tropical fruit, mango, papaya, tamarind, rose., Complex, sweet, malic, tartaric, salty, butyric, red currant, soft peach. , Big silky mouthfeel, creamy, guava nectar, cotton candy, quince jelly",93.6
"Red wine, dark fruit, concord grapes, banana, strawberry-yogurt, candy, tropical fruit, mango, papaya, tamarind, rose., Complex, sweet, malic, tartaric, salty, butyric, red currant, soft peach. , Big silky mouthfeel, creamy, guava nectar, cotton candy, quince jelly.",93.6
