Year|Country|Farmer|Characteristics|Predicted Score|True Score|Model Error|URL|latitude|longitude
2015|Brazil|Antônio Marcio da Silva|Red wine mango nectarine black currant plum molasses tangerine tropical fruit mix little touch of phosphoric acid spicy with fruit, Tartaric citric champagne green apple, Very creamy body and yogurt like sexy complex juicy refreshing aftertaste very clean and exotic amazing highest score ever for COE Brazil natural coffee, |91.51000213623048|95.18|3.6699978637695376|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2015-january/|-14.235004|-51.92528
2019|Honduras|Desarrollos Santa Lucia S.A.|Floral, jasmine, perfume, rose, rose wine, champagne, bergamot, peach, pineapple, tea rose, stone fruits, melon, honey, white floral, coffee blossoms, black currant, Osmanthus flower, Elegant, delicate, transparent, citric, effervescent, complex, sparkling, structured, Smooth mouthfeel, silky, creamy, very smooth, very tea like, velvety, delicate, multidimensional, good structure, layered, |91.79000091552734|94.84|3.04999908447266|https://cupofexcellence.org/directory/wpbdp_category/honduras-2019/|15.199998999999998|-86.241905
2019|Honduras|Desarrollos Santa Lucia S.A.|Floral, jasmine, perfume, rose, rose wine, champagne, bergamot, peach, pineapple, tea rose, stone fruits, melon, honey, white floral, coffee blossoms, black currant, Osmanthus flower, Elegant, delicate, transparent, citric, effervescent, complex, sparkling, structured, Smooth mouthfeel, silky, creamy, very smooth, very tea like, velvety, delicate, multidimensional, good structure, layered, |91.79000091552734|94.84|3.04999908447266|https://cupofexcellence.org/directory/wpbdp_category/honduras-2019/|15.199998999999998|-86.241905
2015|Brazil|Sebastião Afonso da Silva|Mango, passion fruit, stone fruit, cranberry, papaya, pineapple, melon, jasmine, perfumed, molasses, caramel, peach ice tea, Crisp, very complex, brilliant, persistent, immense, Round, transparent, velvet, mouthexpanding, silky, |89.76000213623047|94.47|4.70999786376953|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2015-dec/|-14.235004|-51.92528
2010|Nicaragua|Norlan Daniel Matute Tercero|dark chocolate, floral, jasmine, mango, black cherry, black current, tropical fruit, raisin, toffee, red wine, peach, spicy, vanilla, sugar cane, cantaloupe, bright, tartaric, grapelike, ripe fruit, complex, smooth mouthfeel, rich body, long fruitlike finish, viscous, transparent, |89.66999816894531|94.14|4.470001831054689|https://cupofexcellence.org/directory/wpbdp_category/nicaragua-2010/|12.865416|-85.207229
2014|Brazil|Cândido Vladimir Ladeira Rosa|honey lemon, orange, pineapple, fruit compote, kiwi, lemon grass, guava, red fruit, sweet apple, very complex, citric, perfect, complete, parfait, bright, long juicy prolonged sweet aftertaste, complex, multi dimensional, very clean, |89.16999816894531|94.05|4.880001831054685|https://cupofexcellence.org/directory/wpbdp_category/brazil-pulped-naturals-2014/|-14.235004|-51.92528
2018|Brazil|Primavera Agronegócios Ltda|jasmine, floral, watermelon, jasmine, strawberry, elderberry flower, muscat, passionfruit, raspberry, black grape, mulberry, flan, apricot, floral bouquet, nectarine, lavender, neroli, rosehip, cucumber, grape, sparkling, juicy, complex, long lasting, pleasant, effervescent, elegant, kiwi, peach, transparent, champagne, jam, oolong, bubblegum, apricot, |90.7699966430664|93.89|3.1200033569335943|https://cupofexcellence.org/directory/wpbdp_category/brazil-pulped-naturals-2018/|-14.235004|-51.92528
2015|Brazil|Elson Benedito Daniel|Similar in profile to No coffee nectarine red wine strawberry, floral molasses green apple Toblerone passion fruit graham cracker mango, brown sugar tobacco Brazil Christmas bread, Grape apple tartaric complex, Lots of clarity sweet transparent velvet full body refreshing aftertaste, |88.4000015258789|93.82|5.419998474121087|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2015-january/|-14.235004|-51.92528
2008|Brazil|Ralph de Castro Junqueira|AromaFlavor extremely sweet , floral , chocolate , honey , fresh sugar cane , muscat wine , stone fruits , dark plum , passion fruit , jasmine , raspberry , strawberries , dried apricot , cherry , bergamot , lemon lime soda  Mouthfeel creamy , rich , velvety , structured , concentrated , chewy , overwhelming  , elegant , bright , sweet , lime , racy , firm , with spine  long and pleasant aftertaste perfectly balanced, |89.30000305175781|93.65|4.349996948242193|https://cupofexcellence.org/directory/wpbdp_category/brazil-pulped-naturals-2008/|-14.235004|-51.92528
2017|Brazil|HENRIQUE LEIVAS SLOPER DE ARAUJO|Red wine, dark fruit, concord grapes, banana, strawberryyogurt, candy, tropical fruit, mango, papaya, tamarind, rose, Complex, sweet, malic, tartaric, salty, butyric, red currant, soft peach, Big silky mouthfeel, creamy, guava nectar, cotton candy, quince jelly, |90.87999725341795|93.6|2.7200027465820256|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2017/|-14.235004|-51.92528
